date,strategy,portfolio_value,cash,positions_value,return_pct,num_positions,spy_return_pct,qqq_return_pct
2026-06-11,Max_Return_AI,10000.0,10000.0,0.0,0.0,0,0.0,0.0
2026-06-11,Quality_Momentum_AI,10000.0,10000.0,0.0,0.0,0,0.0,0.0
2026-06-11,Balanced_AI,10000.0,10000.0,0.0,0.0,0,0.0,0.0
2026-06-11,Low_Risk_AI,10000.0,10000.0,0.0,0.0,0,0.0,0.0
2026-06-11,MegaCap_AI,10000.0,10000.0,0.0,0.0,0,0.0,0.0
2026-06-11,AI_Sentiment_AI,10000.0,10000.0,0.0,0.0,0,0.0,0.0
2026-06-11,Max_Return_AI,10000.0,10000.0,0.0,0.0,0,0.0,0.0
2026-06-11,Quality_Momentum_AI,10000.0,10000.0,0.0,0.0,0,0.0,0.0
2026-06-11,Balanced_AI,10000.0,10000.0,0.0,0.0,0,0.0,0.0
2026-06-11,Low_Risk_AI,10000.0,10000.0,0.0,0.0,0,0.0,0.0
2026-06-11,MegaCap_AI,10000.0,10000.0,0.0,0.0,0,0.0,0.0
2026-06-11,AI_Sentiment_AI,10000.0,10000.0,0.0,0.0,0,0.0,0.0
2026-06-11,Max_Return_AI,10000.0,10000.0,0.0,0.0,0,1.68,3.29
2026-06-11,Quality_Momentum_AI,10000.0,10000.0,0.0,0.0,0,1.68,3.29
2026-06-11,Balanced_AI,10000.0,10000.0,0.0,0.0,0,1.68,3.29
2026-06-11,Low_Risk_AI,10000.0,10000.0,0.0,0.0,0,1.68,3.29
2026-06-11,MegaCap_AI,10000.0,10000.0,0.0,0.0,0,1.68,3.29
2026-06-11,AI_Sentiment_AI,10000.0,10000.0,0.0,0.0,0,1.68,3.29
2026-06-12,Max_Return_AI,10000.0,10000.0,0.0,0.0,0,1.68,3.29
2026-06-12,Quality_Momentum_AI,10000.0,10000.0,0.0,0.0,0,1.68,3.29
2026-06-12,Balanced_AI,10000.0,10000.0,0.0,0.0,0,1.68,3.29
2026-06-12,Low_Risk_AI,10000.0,10000.0,0.0,0.0,0,1.68,3.29
2026-06-12,MegaCap_AI,10000.0,10000.0,0.0,0.0,0,1.68,3.29
2026-06-12,AI_Sentiment_AI,10000.0,10000.0,0.0,0.0,0,1.68,3.29
2026-06-12,Max_Return_AI,10000.0,10000.0,0.0,0.0,0,2.24,3.98
2026-06-12,Quality_Momentum_AI,10000.0,10000.0,0.0,0.0,0,2.24,3.98
2026-06-12,Balanced_AI,10000.0,10000.0,0.0,0.0,0,2.24,3.98
2026-06-12,Low_Risk_AI,10000.0,10000.0,0.0,0.0,0,2.24,3.98
2026-06-12,MegaCap_AI,10000.0,10000.0,0.0,0.0,0,2.24,3.98
2026-06-12,AI_Sentiment_AI,10000.0,10000.0,0.0,0.0,0,2.24,3.98
2026-06-16,Max_Return_AI,10000.0,10000.0,0.0,0.0,0,4.03,7.22
2026-06-16,Quality_Momentum_AI,10000.0,10000.0,0.0,0.0,0,4.03,7.22
2026-06-16,Balanced_AI,10000.0,10000.0,0.0,0.0,0,4.03,7.22
2026-06-16,Low_Risk_AI,10000.0,10000.0,0.0,0.0,0,4.03,7.22
2026-06-16,MegaCap_AI,10000.0,10000.0,0.0,0.0,0,4.03,7.22
2026-06-16,AI_Sentiment_AI,10000.0,10000.0,0.0,0.0,0,4.03,7.22
2026-06-17,Max_Return_AI,10000.0,10000.0,0.0,0.0,0,2.14,4.14
2026-06-17,Quality_Momentum_AI,10000.0,10000.0,0.0,0.0,0,2.14,4.14
2026-06-17,Balanced_AI,10000.0,10000.0,0.0,0.0,0,2.14,4.14
2026-06-17,Low_Risk_AI,10000.0,10000.0,0.0,0.0,0,2.14,4.14
2026-06-17,MegaCap_AI,10000.0,10000.0,0.0,0.0,0,2.14,4.14
2026-06-17,AI_Sentiment_AI,10000.0,10000.0,0.0,0.0,0,2.14,4.14
2026-06-18,Max_Return_AI,10000.0,10000.0,0.0,0.0,0,2.92,6.63
2026-06-18,Quality_Momentum_AI,10000.0,10000.0,0.0,0.0,0,2.92,6.63
2026-06-18,Balanced_AI,10000.0,10000.0,0.0,0.0,0,2.92,6.63
2026-06-18,Low_Risk_AI,10000.0,10000.0,0.0,0.0,0,2.92,6.63
2026-06-18,MegaCap_AI,10000.0,10000.0,0.0,0.0,0,2.92,6.63
2026-06-18,AI_Sentiment_AI,10000.0,10000.0,0.0,0.0,0,2.92,6.63
2026-06-19,Max_Return_AI,9995.94,5938.92,4057.02,-0.04,3,2.92,6.63
2026-06-19,Quality_Momentum_AI,9996.74,6740.18,3256.56,-0.03,3,2.92,6.63
2026-06-19,Balanced_AI,9996.99,6988.71,3008.29,-0.03,3,2.92,6.63
2026-06-19,Low_Risk_AI,9997.94,7935.16,2062.78,-0.02,3,2.92,6.63
2026-06-19,MegaCap_AI,9995.25,5244.85,4750.4,-0.05,2,2.92,6.63
2026-06-19,AI_Sentiment_AI,9996.74,6740.76,3255.98,-0.03,3,2.92,6.63
2026-06-22,Max_Return_AI,9903.76,5938.92,3964.84,-0.96,3,2.61,6.39
2026-06-22,Quality_Momentum_AI,9922.25,6740.18,3182.07,-0.78,3,2.61,6.39
2026-06-22,Balanced_AI,9925.7,6988.71,2936.99,-0.74,3,2.61,6.39
2026-06-22,Low_Risk_AI,9980.28,7935.16,2045.12,-0.2,3,2.61,6.39
2026-06-22,MegaCap_AI,10024.21,5244.85,4779.36,0.24,2,2.61,6.39
2026-06-22,AI_Sentiment_AI,9921.78,6740.76,3181.02,-0.78,3,2.61,6.39
2026-08-06,Max_Return_AI,9833.08,3743.97,6089.11,-1.67,3,6.0,3.34
2026-08-06,Quality_Momentum_AI,9875.83,5042.28,4833.55,-1.24,3,6.0,3.34
2026-08-06,Balanced_AI,9863.58,5634.36,4229.23,-1.36,3,6.0,3.34
2026-08-06,Low_Risk_AI,10074.6,7267.82,2806.77,0.75,3,6.0,3.34
2026-08-06,MegaCap_AI,9539.06,7368.17,2170.89,-4.61,1,6.0,3.34
2026-08-06,AI_Sentiment_AI,9874.69,5266.74,4607.95,-1.25,3,6.0,3.34
2026-08-07,Max_Return_AI,9895.61,3743.97,6151.65,-1.04,3,6.28,3.64
2026-08-07,Quality_Momentum_AI,9925.43,5042.28,4883.15,-0.75,3,6.28,3.64
2026-08-07,Balanced_AI,9905.03,5634.36,4270.68,-0.95,3,6.28,3.64
2026-08-07,Low_Risk_AI,10085.68,7267.82,2817.86,0.86,3,6.28,3.64
2026-08-07,MegaCap_AI,9501.45,7368.17,2133.28,-4.99,1,6.28,3.64
